area_code,area_name_english,area_name_japanese,population,median_age,state_code,state_name,state_name_japanese,area_name_japanese_wo_state
02412,Aomori-ken Oirase-cho,青森県 おいらせ町,24273,49.1,02,aomori,青森県,おいらせ町
02423,Aomori-ken Oma-machi,青森県 大間町,4718,55.5,02,aomori,青森県,大間町
02424,Aomori-ken Higashidori-mura,青森県 東通村,5955,55.8,02,aomori,青森県,東通村
02425,Aomori-ken Kazamaura-mura,青森県 風間浦村,1636,62.8,02,aomori,青森県,風間浦村
02426,Aomori-ken Sai-mura,青森県 佐井村,1788,63.9,02,aomori,青森県,佐井村
02441,Aomori-ken Sannohe-machi,青森県 三戸町,9082,59.6,02,aomori,青森県,三戸町
02442,Aomori-ken Gonohe-machi,青森県 五戸町,16042,59.3,02,aomori,青森県,五戸町
02443,Aomori-ken Takko-machi,青森県 田子町,4968,61.6,02,aomori,青森県,田子町
02445,Aomori-ken Nambu-cho,青森県 南部町,16809,58.6,02,aomori,青森県,南部町
02446,Aomori-ken Hashikami-cho,青森県 階上町,13496,53.6,02,aomori,青森県,階上町
02450,Aomori-ken Shingo-mura,青森県 新郷村,2197,64.7,02,aomori,青森県,新郷村
03201,Iwate-ken Morioka-shi,岩手県 盛岡市,289731,48.9,03,iwate,岩手県,盛岡市
03202,Iwate-ken Miyako-shi,岩手県 宮古市,50369,56.5,03,iwate,岩手県,宮古市
03203,Iwate-ken Ofunato-shi,岩手県 大船渡市,34728,56.6,03,iwate,岩手県,大船渡市
03205,Iwate-ken Hanamaki-shi,岩手県 花巻市,93193,53.3,03,iwate,岩手県,花巻市
03206,Iwate-ken Kitakami-shi,岩手県 北上市,93045,48.0,03,iwate,岩手県,北上市
03207,Iwate-ken Kuji-shi,岩手県 久慈市,33043,53.9,03,iwate,岩手県,久慈市
03208,Iwate-ken Tono-shi,岩手県 遠野市,25366,59.1,03,iwate,岩手県,遠野市
03209,Iwate-ken Ichinoseki-shi,岩手県 一関市,111932,56.2,03,iwate,岩手県,一関市
03210,Iwate-ken Rikuzentakata-shi,岩手県 陸前高田市,18262,58.4,03,iwate,岩手県,陸前高田市
03211,Iwate-ken Kamaishi-shi,岩手県 釜石市,32078,57.6,03,iwate,岩手県,釜石市
03213,Iwate-ken Ninohe-shi,岩手県 二戸市,25513,56.4,03,iwate,岩手県,二戸市
03214,Iwate-ken Hachimantai-shi,岩手県 八幡平市,24023,59.9,03,iwate,岩手県,八幡平市
03215,Iwate-ken Oshu-shi,岩手県 奥州市,112937,54.4,03,iwate,岩手県,奥州市
03216,Iwate-ken Takizawashi,岩手県 滝沢市,55579,46.5,03,iwate,岩手県,滝沢市
